Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Dioscorea alata Linn.,Accepted source,Identified with it,1024,Raktaluka,रक्तालुका,raktālukā
Daemenorops draco Blume.,,,1025,Raktaniryasa,रक्तनिर्यास,raktaniryāsa
Daemenorops kurzianus Hook.f.,,,1025,Raktaniryasa,रक्तनिर्यास,raktaniryāsa
Jacobini tinctoria Henol.,Accepted source,Raktavasa is correlated to this species,1026,Raktavasa,रक्तवासा,raktavāsā
Lycoprslcon esculentum Mill.,,,1027,Raktavrntaka,रक्तवृन्ताक,raktavṛntāka
Nymphaea rubra Roxb.,Accepted source,Identified with it,1028,Raktotpala,रक्तोत्पल,raktotpala
Nymphoea nouchali Burm. f.,,,1028,Raktotpala,रक्तोत्पल,raktotpala
Ocimum gratissimum Linn.,,,1029,Ramatulasi,रामतुलसी,rāmatulasī
Ocimum gratissimum Linn.,,,1029,Ramatulasi,रामतुलसी,rāmatulasī
Commiphora myrrha (Nees) Engl.,Accepted source,Identified with it,1030,Rasa,रस,rasa
Alpinia galanga Swartz.,Controversial,Rasna is a highly controversial drug and this is considered as Rasna in South India; With regard to the synonyms given in the text matching with the morphological features of the plant this species was taken into consideration,1031,Rasna,रास्ना,rāsnā
Alpinia galanga Willd.,Controversial,In various parts of India different species are assumed as 'Rasna' and this is one of the species which is suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Aristolochia bracteata,Accepted source,Rasna is correlated to this species,1031,Rasna,रास्ना,rāsnā
Aristolochia indica,C (Sub),Many species are correlated to 'Rasna' and this species is one among them; It is used as a substitute in different parts of the country,1031,Rasna,रास्ना,rāsnā
Blepharispermum subsessile DC.,Controversial,In various parts of India different species are assumed as Rasna and this is one of the species which is suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Dodonaea viscosa Linn.,Controversial,In various parts of India different species are assumed as Rasna and this is one of the species which is suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Enicostema littoral Blume,Controversial,Rasna is a highly controversial drug and this species was used by some Vaidyas as Trina Rasna,1031,Rasna,रास्ना,rāsnā
Enicostema littorale Blume.,Controversial,In various parts of India different species are assumed as Rasna and hence this species is suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Inula racemosa Hook f.,Controversial,Considered controversial as it may be identified with Puskaramula,1031,Rasna,रास्ना,rāsnā
Inula racemosa Hook.,Controversial,Rasna is a highly controversial drug and many plants are being used as Rasna all over India; Dr Vaman Ganesh Desai considers this species to be the real Rasna,1031,Rasna,रास्ना,rāsnā
Lochnera rosea Reichb.,Controversial,Rasna is a highly controversial plant and different plants are being used as Rasna in different parts of the country; This species is considered as Trina Rasna,1031,Rasna,रास्ना,rāsnā
Lochnera rosea Reichb.,Controversial,Many species are correlated to Rasna and this species is one among them; It is used as a substitute in different parts of the country,1031,Rasna,रास्ना,rāsnā
Pluchea lanceolata,Suggested source,This species is suggested to be used as Rasna tentatively till better proof is obtained,1031,Rasna,रास्ना,rāsnā
Pluchea lanceolata C.B. Clarke,,,1031,Rasna,रास्ना,rāsnā
Pluchea lanceolata C.B. Clarke.,Controversial,In various parts of India different species are assumed as 'Rasna' and this is one of the species which is suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Pluchea lanceolata Oliver & Hiern.,Accepted source,Identified with it,1031,Rasna,रास्ना,rāsnā
Pluchea lanceolate C. B. Clarke.,Controversial,"Rasna is a highly controversial plant and different plants are being used as Rasna in different parts of the country; This species is used as Rasna in North, Punjab and Gujarat",1031,Rasna,रास्ना,rāsnā
Rauwolfia serpentina,Controversial,In various parts of India different species are assumed as 'Rasna' and this is one of the species suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Ruawolfia serpentina.,Controversial,Bengali Kavirajas consider 3 types of Rasna but there is no referance of this in the Brhatrayi; One type is Mula Rasna which is correlated to this species,1031,Rasna,रास्ना,rāsnā
Saccolabium papillosum Lindl.,Controversial,With regard to its habit and features this species cannot be considered as Rasna,1031,Rasna,रास्ना,rāsnā
Vanda roghurghii R. Br.,Controversial,In various parts of India different species are assumed as 'Rasna' and this is one of the species which is suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Vanda roxburghii R. Br.,Controversial,With regard to its habit and features this species cannot be considered as Rasna,1031,Rasna,रास्ना,rāsnā
Vanda tessellata Hook ex G.,Controversial,Rasna is a highly controversial drug and different species are being used as Rasna all over India; This species is one among them,1031,Rasna,रास्ना,rāsnā
Viola odorata Linn.,,,1031,Rasna,रास्ना,rāsnā
Viscum album,Controversial,In various parts of India different species are assumed as 'Rasna' and hence this species is suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Viscum album Linn.,Controversial,Rasna is a highly controversial drug and different species are being used as Rasna all over India; This species is used as Rasna in Punjab,1031,Rasna,रास्ना,rāsnā
Withania coagulens,Controversial,In various parts of India different species are assumed as 'Rasna' and hence this species is suggested as a correlation,1031,Rasna,रास्ना,rāsnā
Withania coagulens.,Controversial,Rasna is a highly controversial drug and different species are being used as Rasna all over India; This species is used as Rasna by the Sindhi Vaidyas,1031,Rasna,रास्ना,rāsnā
Allium ascalonium Linn.,,,1032,Rasona,रसोन,rasona
Allium sativum Linn.,,,1032,Rasona,रसोन,rasona
Alkanna tinctoria,Suggested source,Ratanjota has not been mentioned in any of the texts; This species is used as Ratanjota,1033,Ratanjota,रतनजोत,ratanajota
Anemone obtusiloba D-Don,Suggested source,Anemone obtusiloba is suggested to be used as Ratanjota acoording to Glossary of Indian Medicinal Plants,1033,Ratanjota,रतनजोत,ratanajota
Clausena pentaphylla,Suggested source,Ratanjota has not been mentioned in any of the texts; This species is used as Ratanjota,1033,Ratanjota,रतनजोत,ratanajota
Clausena pentaphylla D. C.,Accepted source,Ratanjota has not been mentioned in any of the texts; This species is used as Ratanjota,1033,Ratanjota,रतनजोत,ratanajota
Geraneum wallichianum,Suggested source,Ratanjota has not been mentioned in any of the texts; This species is suggested to be used as Ratanjota,1033,Ratanjota,रतनजोत,ratanajota
Geraneum wallichianum Sw. Geran.,Suggested source,Ratanjota has not been mentioned in any of the texts; This species is suggested to be used as Ratanjota,1033,Ratanjota,रतनजोत,ratanajota
Jatropha glandulifera,Controversial,In Gujarat this species is known as Ratanjota which is otherwise correlated to some other plant; But according to Dalhanas interpretation it exactly resembles the Ratanjota,1033,Ratanjota,रतनजोत,ratanajota
Onosma echioides,Controversial,Ratanjota has not been mentioned in any of the texts; This species is used as Ratanjota in Punjab and North western Himalaya,1033,Ratanjota,रतनजोत,ratanajota
Onosma echioides Linn.,Controversial,Ratanjota has not been mentioned in any of the texts; This species is used as Ratanjota in Punjab and North western Himalaya,1033,Ratanjota,रतनजोत,ratanajota
Potentilla nepalensis,Controversial,Ratanjota has not been mentioned in any of the texts; This species is used as Ratanjota in Punjab,1033,Ratanjota,रतनजोत,ratanajota
Eulophia nuda Lindl.,ST,Rddhi is one of the Astavarga drugs which is not yet identified; This species is used as its substitute which may be examined,1034,Rddhi,ऋद्धि,ṛddhi
Habenaria sp.,ST,Rddhi is one of the Astavarga drugs which is not yet identified; This species is used as its substitute at present,1034,Rddhi,ऋद्धि,ṛddhi
Habenaria sp.,Substituted source,Rddhidvaya is among the 'Astavarga dravyas' (group of eight drugs); These are not mentioned in the Brhatrayi; Along with time its identity started getting conspicous and substitutes were used for them; Presently this species is used as a substitute for Rddhidvaya,1035,Rddhidvaya,ऋद्धिद्वय,ṛddhidvaya
Peper cubeba,Substituted source,Renuka is a controversial plant; With regard to its properties this species can be used as a substitute as it fulfills almost all the properties of Renuka,1036,Renuka,रेणुका,reṇukā
Vitex agnus costus,Accepted source,Renuka is correlated to this species,1036,Renuka,रेणुका,reṇukā
Selinum vaginatum Wall.,Most probable,The word Rocanatagara can be either yellow variety of tagara or two drugs i.e Rocana and Tagara. Yellow variety of Tagara can be correlated to this species,1037,Rocanatagara,रोचनातगर,rocanātagara
Erycibe paniculata Roxb.,?,?,1038,Rohini,रोहिणी,rohiṇī
Soymida febrifuga A. Juss.,Most probable,Mamsarohini is known as Rohini in many parts of the country and this is correlated to Soymida febrifuga,1038,Rohini,रोहिणी,rohiṇī
Gentiana sp.,?,?,1039,Rohini - prajati,रोहिणी प्रजाति,rohiṇī prajāti
Andropogon nardus Linn.,,,1040,Rohisa,रोहिष,rohiṣa
Andropogon nardus var. flexuosus Hack.,Most probable,Most probably identified with it as its an aromatic grass,1040,Rohisa,रोहिष,rohiṣa
Andropogon schoenanthus var. caesius Hack.,Substituted source,Might have been used as a substitute,1040,Rohisa,रोहिष,rohiṣa
Andropogon schoenanthus var. martini Hook.f.,Most probable,Previously it was identified with this species,1040,Rohisa,रोहिष,rohiṣa
Cymbopogon caesius Stapf,Substituted source,Might have been used as a substitute,1040,Rohisa,रोहिष,rohiṣa
Cymbopogon citratus (DC.) Stapf,Most probable,May be identified with it with regard to its aroma,1040,Rohisa,रोहिष,rohiṣa
Cymbopogon martini (Roxb.) Wats,,,1040,Rohisa,रोहिष,rohiṣa
Cymbopogon martini (Roxb.) Wats.,Most probable,Previously it was identified as Andropogon species (now Cymbopogon),1040,Rohisa,रोहिष,rohiṣa
Cymbopogon martinii (Roxb.),Accepted source,Identified with this species,1040,Rohisa,रोहिष,rohiṣa
Cymbopogon schoenanthus Spreng.,Substituted source,The roots of this species might have been used in place of Rohisa,1040,Rohisa,रोहिष,rohiṣa
Tecoma undulata G. Don.,,,1040,Rohisa,रोहिष,rohiṣa
Aphanamixis polystachia (Blatter.),Suggested source,There are many species being used as Rohitaka and this is one among them which is used in Bengal,1041,Rohitaka,रोहितक,rohitaka
Aphanamixis polystachya (Wall.) Parker,Substituted source,Due to its limited distribution in the western parts of the country this species is used as its substitute in Eastern parts of the country,1041,Rohitaka,रोहितक,rohitaka
Aphanamixis polystacia (Wall.) Parker.,Suggested source,"Samhitas have mentioned the uses of 'Rohitaka' but there is no mention of its morphology;The word 'Rohitaka' itself describes its bark and flowers to be red in colour; Nighantus have given synonyms which indicate its leaves and flowers to resemble 'Dadima'; Based on this, two species have been suggested and this is one among them",1041,Rohitaka,रोहितक,rohitaka
Erythrina sp.,Controversial,"With regard to different synonyms given to Rohitaka, bark of this species has been found to be used",1041,Rohitaka,रोहितक,rohitaka
Maba nigrescens Dalz and Gibs.,Controversial,Different plants are being used as Rohitaka in various parts of India; This species is one among them which is found in Mumbai,1041,Rohitaka,रोहितक,rohitaka
Myristica Attenuata Wall.,Controversial,Many plants are being used as Rohitaka all over India; This species is one among them but the features of this species does not match with Rohitaka; When the trunk is cut it gives a copious blood red juice which needs to be tested for its property,1041,Rohitaka,रोहितक,rohitaka
Polygonum glabbrum Willd.,Controversial,Different plants are being used as Rohitaka in various parts of India; This species is one among them which is used as Raktarohitaka,1041,Rohitaka,रोहितक,rohitaka
Rhamnus Wightii,?,?,1041,Rohitaka,रोहितक,rohitaka
Rhamnus Wightii,Controversial,Different plants are being used as Rohitaka in various parts of India; This species is one among them which is used as Rohitaka in South India,1041,Rohitaka,रोहितक,rohitaka
Tecoma undulata (G. Don.),Suggested source,"Samhitas have mentioned the uses of 'Rohitaka' but there is no mention of its morphology;The word 'Rohitaka' itself describes its bark and flowers to be red in colour; Nighantus have given synonyms which indicate its leaves and flowers to resemble 'Dadima'; Based on this, two species have been suggested and this is one among them",1041,Rohitaka,रोहितक,rohitaka
Tecomella undulata,Accepted source,According to the author Rohitaka is best correlated to this species with regard to its morphology,1041,Rohitaka,रोहितक,rohitaka
Tecomella undulata (G. Don) Seem.,Accepted source,Identified with it,1041,Rohitaka,रोहितक,rohitaka
Tecomella undulata Seem.,Controversial,Different plants are being used as Rohitaka in various parts of India; This species is one among them which is used as Rohitaka all over India except Bengal,1041,Rohitaka,रोहितक,rohitaka
Ventilago madraspatana Gaertn.,Controversial,Presently different plants are being used as Rohitaka in different parts of India and this species is one among them,1041,Rohitaka,रोहितक,rohitaka
Aphanamixis polystachia (Blatter.),Suggested source,There are many species being used as Rohitaka and this is one among them which is used in Bengal,1041,Rohitaka,रोहितक,rohitaka
Aphanamixis polystachya (Wall.) Parker,Substituted source,Due to its limited distribution in the western parts of the country this species is used as its substitute in Eastern parts of the country,1041,Rohitaka,रोहितक,rohitaka
Aphanamixis polystacia (Wall.) Parker.,Suggested source,"Samhitas have mentioned the uses of 'Rohitaka' but there is no mention of its morphology;The word 'Rohitaka' itself describes its bark and flowers to be red in colour; Nighantus have given synonyms which indicate its leaves and flowers to resemble 'Dadima'; Based on this, two species have been suggested and this is one among them",1041,Rohitaka,रोहितक,rohitaka
Erythrina sp.,Controversial,"With regard to different synonyms given to Rohitaka, bark of this species has been found to be used",1041,Rohitaka,रोहितक,rohitaka
Maba nigrescens Dalz and Gibs.,Controversial,Different plants are being used as Rohitaka in various parts of India; This species is one among them which is found in Mumbai,1041,Rohitaka,रोहितक,rohitaka
Myristica Attenuata Wall.,Controversial,Many plants are being used as Rohitaka all over India; This species is one among them but the features of this species does not match with Rohitaka; When the trunk is cut it gives a copious blood red juice which needs to be tested for its property,1041,Rohitaka,रोहितक,rohitaka
Polygonum glabbrum Willd.,Controversial,Different plants are being used as Rohitaka in various parts of India; This species is one among them which is used as Raktarohitaka,1041,Rohitaka,रोहितक,rohitaka
Rhamnus Wightii,?,?,1041,Rohitaka,रोहितक,rohitaka
Rhamnus Wightii,Controversial,Different plants are being used as Rohitaka in various parts of India; This species is one among them which is used as Rohitaka in South India,1041,Rohitaka,रोहितक,rohitaka
Tecoma undulata (G. Don.),Suggested source,"Samhitas have mentioned the uses of 'Rohitaka' but there is no mention of its morphology;The word 'Rohitaka' itself describes its bark and flowers to be red in colour; Nighantus have given synonyms which indicate its leaves and flowers to resemble 'Dadima'; Based on this, two species have been suggested and this is one among them",1041,Rohitaka,रोहितक,rohitaka
Tecomella undulata,Accepted source,According to the author Rohitaka is best correlated to this species with regard to its morphology,1041,Rohitaka,रोहितक,rohitaka
Tecomella undulata (G. Don) Seem.,Accepted source,Identified with it,1041,Rohitaka,रोहितक,rohitaka
Tecomella undulata Seem.,Controversial,Different plants are being used as Rohitaka in various parts of India; This species is one among them which is used as Rohitaka all over India except Bengal,1041,Rohitaka,रोहितक,rohitaka
Ventilago madraspatana Gaertn.,Controversial,Presently different plants are being used as Rohitaka in different parts of India and this species is one among them,1041,Rohitaka,रोहितक,rohitaka
Aphanamixis polystacia (Wall.) parker.,Accepted source,Raja nighantu and Sodala nighantu have mentioned two types of 'Rohitaka' based on the colour of flowers; White variety is identified with this species,1043,Rohitaka - sveta,रोहितक श्वेता,rohitaka śvetā
Aphanamixis polystacia (Wall.) parker.,Accepted source,Raja nighantu and Sodala nighantu have mentioned two types of 'Rohitaka' based on the colour of flowers; White variety is identified with this species,1043,Rohitaka - sveta,रोहितक श्वेता,rohitaka śvetā
Tecoma undulata,Accepted source,"The features of this species equals with the features of 'Rohitaka' mentioned in the ancient texts, hence identified with Tecoma undulata",1042,Rohitaka - rakta,रोहितक रक्त,rohitaka rakta
Tecoma grandiflora Loisel,Suggested source,Rohitakalata' is mentioned in Caraka samhita; Cakrapani has interpreted it as small pieces of 'Rohitaka'; Originally tender branches of 'Rohitaka' were considered as 'Rohitakalata'; With regard to its features the author has identified it with this species,1044,Rohitakalata,रोहितकलता,rohitakalatā
Ventilago madraspatana Gaertn.,Controversial,This species is known as 'Ragatrohedo' in Gujarat; With regard to its morphology it can be considered as 'Raktavalli' and not 'Rohitakalata'; Needs further studies,1044,Rohitakalata,रोहितकलता,rohitakalatā
Microstylis wallichii Lindl.,Substituted source,Rsabha is one of the Astavarga drugs which is not yet identified; At present this species is used as its substitute,1045,Rsabha,ऋषभ,ṛṣabha
Withania coagulens Dunal,Accepted source,Rsyagandha' is mentioned in Caraka samhita; Cakrapani has interpreted it as 'Rsyajangalaka' and in another context as a type of 'Bala'; In the madhura skanda (group of sweet drugs) plants are written in pairs for e.g. 'Chatra' and 'Atichatra' similarly 'Rsyagandha' and 'Asvagandha' are written together; This depicts that 'Rsyagandha' is from 'Asvagandha' family and hence correlated to this species,1046,Rsyagandha,ऋष्यगंधा,ṛṣyagaṃdhā
Miliusa velutina Hook.f. & Th.,Most probable,Most probably it can be identified with this species; This species is popularly known among the adivasis(tribals) as 'Siyarbhuka',1047,Rsyaprokta,ऋष्यप्रोक्ता,ṛṣyaproktā
Astragalus sp.,Most probable,It is mentioned in Raja nighantu; Sarnghadhara has mentioned it as a drug used for rasayana which depicts that during that period it was a noted drug for rasayana; This species is considered by some as Rudanti so considered as a most probable candidate,1048,Rudanti,रुदन्ती,rudantī
Capparis mooni,Suggested source,In the past Rudanti was correlated to this species but there is no evidence to support this claim,1048,Rudanti,रुदन्ती,rudantī
Capparis moonii Wight.,,,1048,Rudanti,रुदन्ती,rudantī
Capparis moonii Wight.,Suggested source,Its mentioned in Raja nighantu; During the period of Sarnghadara it was widely used as a rasayana (rejuvenative); In the medieval period it was used in sorcery; Present scholars use the fruits of this species as Rudanti,1048,Rudanti,रुदन्ती,rudantī
Cressa cretica Linn.,Most probable,Its mentioned in Raja nighantu; During the period of Sarnghadara it was widely used as a rasayana (rejuvenative); In the medieval period it was used in sorcery; Present scholars identify this species with Rudanti,1048,Rudanti,रुदन्ती,rudantī
Cressa cretiea,Most probable,This species is suggested to be taken as Rudanti with regard to its morphology,1048,Rudanti,रुदन्ती,rudantī
Capparis roxburghii DC.,,,1049,Rudanti - prajati,रुदन्ती प्रजाति,rudantī prajāti
Celosia cristata Linn.,Most probable,Is mentioned in Raja nighantu; Most probably correlated with this species which is widely known as 'Jatadhari',1050,Rudrajata,रुद्रजात,rudrajāta
Lygodium sp.,Most probable,Is mentioned in Raja nighantu; Thakur Balwant Singh has identified it with this species which is popularly known as 'Kaarijhaank' or 'Mahaadevajata',1050,Rudrajata,रुद्रजात,rudrajāta
Elaeocarpus ganitrus Roxb.,,,1051,Rudraksa,रुद्राक्ष,rudrākṣa
Elaeocorpus ganitrus Roxb.,Accepted source,Identified with this species,1051,Rudraksa,रुद्राक्ष,rudrākṣa
Saponaria vaccaria Linn.,Accepted source,Sabuna is identified with this species,1052,Sabuna,साबून,sābūna
Lochnera rosea (Linn.) Reichb.,,,1053,Sadampuspa,सदंपुष्पा,sadaṃpuṣpā
Lochnera pusilla (Murr.) K. Schum.,,,1054,Sadampuspa - prajati,सदंपुष्पा प्रजाति,sadaṃpuṣpā prajāti
Acorus sp.,Most probable,Is most probably considered to this species as it has features similar to Sadgrantha,1055,Sadgrantha,षड्ग्रन्था,ṣaḍgranthā
Iris sp.,Most probable,Is most probably considered to this species as it has features similar to Sadgrantha,1055,Sadgrantha,षड्ग्रन्था,ṣaḍgranthā
Vernonia cineria Less.,,,1056,Sahadevi,सहदेवी,sahadevī
Asparagus sp.,Most probable,Sahasravirya is one of the varieties of Durva or Satavari; There is a plant found in Kangra region known as Sahaspai which is an Asparagus species so this is the most probable candidate,1057,Sahasravirya,सहस्रवीर्या,sahasravīryā
Parmelia perlata Ach.,Accepted source,Identified with it,1058,Saileya,शैलेय,śaileya
"Parmelia perlata, Ach.",,,1058,Saileya,शैलेय,śaileya
Piper retrofractum Vahl.,,,1059,Saimhali,सैंहली,saiṃhalī
Avicennia sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhizophora sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhododendron sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Avicennia sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhizophora sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhododendron sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Avicennia sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhizophora sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhododendron sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Avicennia sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhizophora sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhododendron sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Avicennia sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhizophora sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhododendron sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Avicennia sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhizophora sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Rhododendron sp.,,,1069,Sairiyaka - sveta,सैरीयक श्वेता,sairīyaka śvetā
Barleria cristata Linn.,Accepted source,Identified with this species,1063,Saireyaka - svetarakta,सैरेयक श्वेतरक्ता,saireyaka śvetaraktā
Barleria cristata Linn.,Accepted source,Identified with this species,1063,Saireyaka - svetarakta,सैरेयक श्वेतरक्ता,saireyaka śvetaraktā
Barleria cristata Linn.,Accepted source,Identified with this species,1063,Saireyaka - svetarakta,सैरेयक श्वेतरक्ता,saireyaka śvetaraktā
Barleria cristata Linn.,Accepted source,Identified with this species,1063,Saireyaka - svetarakta,सैरेयक श्वेतरक्ता,saireyaka śvetaraktā
Barleria cristata Linn.,Accepted source,Identified with this species,1063,Saireyaka - svetarakta,सैरेयक श्वेतरक्ता,saireyaka śvetaraktā
Barleria cristata Linn.,Accepted source,Identified with this species,1063,Saireyaka - svetarakta,सैरेयक श्वेतरक्ता,saireyaka śvetaraktā
Barleria prionities Linn.,Accepted source,Identified with this species,1062,Saireyaka - pita,सैरेयक पीता,saireyaka pītā
Barleria prionities Linn.,Accepted source,Identified with this species,1062,Saireyaka - pita,सैरेयक पीता,saireyaka pītā
Barleria prionities Linn.,Accepted source,Identified with this species,1062,Saireyaka - pita,सैरेयक पीता,saireyaka pītā
Barleria prionities Linn.,Accepted source,Identified with this species,1062,Saireyaka - pita,सैरेयक पीता,saireyaka pītā
Barleria prionities Linn.,Accepted source,Identified with this species,1062,Saireyaka - pita,सैरेयक पीता,saireyaka pītā
Barleria prionities Linn.,Accepted source,Identified with this species,1062,Saireyaka - pita,सैरेयक पीता,saireyaka pītā
Barleria prionitis Linn.,,,1060,Saireyaka,सैरेयक,saireyaka
Barleria prionitis Linn.,,,1060,Saireyaka,सैरेयक,saireyaka
Barleria prionitis Linn.,,,1060,Saireyaka,सैरेयक,saireyaka
Barleria prionitis Linn.,,,1060,Saireyaka,सैरेयक,saireyaka
Barleria prionitis Linn.,,,1060,Saireyaka,सैरेयक,saireyaka
Barleria prionitis Linn.,,,1060,Saireyaka,सैरेयक,saireyaka
Barleria strigosa Willd.,Accepted source,Identified with this species,1061,Saireyaka - nila,सैरेयक नील,saireyaka nīla
Barleria strigosa Willd.,Accepted source,Identified with this species,1061,Saireyaka - nila,सैरेयक नील,saireyaka nīla
Barleria strigosa Willd.,Accepted source,Identified with this species,1061,Saireyaka - nila,सैरेयक नील,saireyaka nīla
Barleria strigosa Willd.,Accepted source,Identified with this species,1061,Saireyaka - nila,सैरेयक नील,saireyaka nīla
Barleria strigosa Willd.,Accepted source,Identified with this species,1061,Saireyaka - nila,सैरेयक नील,saireyaka nīla
Barleria strigosa Willd.,Accepted source,Identified with this species,1061,Saireyaka - nila,सैरेयक नील,saireyaka nīla
Rhododendron arboreum Sm.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron falconeri Hook.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron arboreum Sm.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron falconeri Hook.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron arboreum Sm.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron falconeri Hook.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron arboreum Sm.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron falconeri Hook.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron arboreum Sm.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron falconeri Hook.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron arboreum Sm.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Rhododendron falconeri Hook.,,,1064,Sairiyaka,सैरीयक,sairīyaka
Acanthus ilicifolius Linn.,,,1065,Sairiyaka - krsna,सैरीयक कृष्णा,sairīyaka kṛṣṇā
Barleria stigosa Linn.,,,1066,Sairiyaka - nila,सैरीयक नीला,sairīyaka nīlā
Barleria prionitis Linn.,,,1067,Sairiyaka - pita,सैरीयक पीता,sairīyaka pītā
Barleria cristata Linn.,Accepted source,Identified with this species,1068,Sairiyaka - rakta,सैरीयक रक्त,sairīyaka rakta
Algae,Not Identified,Correlation with Algae is not right as roots of Saivala being used are mentioned,1070,Saivala,शैवाल,śaivāla
Ceratophyllum demersum Linn.,,,1070,Saivala,शैवाल,śaivāla
Potamogeton pectinatus Linn.,Most probable,Saivala is known as Sevara and this species is known as Sevara near Varanasi so most probably identified with it,1070,Saivala,शैवाल,śaivāla
Zanichellia palustris Linn.,Most probable,Saivala is known as Sevara and this species is known as Sevara near Varanasi so most probably identified with it,1070,Saivala,शैवाल,śaivāla
Tectona grandis Linn. f.,,,1071,Saka,शाक,śāka
Tectona grandis Linn. f.,Accepted source,Identified with it,1071,Saka,शाक,śāka
Strebulus asper Lour.,Accepted source,Identified with it,1072,Sakhota,शाखोट,śākhoṭa
Streblus asper Lour.,,,1073,Sakhotaka,शाखोटक,śākhoṭaka
Alternanthera sessilis (Linn.) R. Br.,Most probable,Most probably identified with this species,1074,Sakuladani,शकुलादनी,śakulādanī
Enhydra fluctuans Lour.,Accepted source,Caraka and Vagbhata have mentioned this among the 'Saka varga' (group of vegetables); In their commentary Cakrapani and Arundatta have considered this as 'Katuka' but 'Katuka' is not a well known Saka but instead its tuber is widely used in medicines; Katuka has been mentioned in different varga (group) in Caraka so its a different drug when equated with 'Sakuladani'; 'Sakuladani' is a vegetable and found near water and its identified with this species,1074,Sakuladani,शकुलादनी,śakulādanī
Shorea robusta Gaertn.,,,1075,Sala,शाल,śāla
Shorea robusta Gaertn.,Accepted source,Identified with it,1075,Sala,शाल,śāla
Terminalia alata Heyne ex Roth,,,1076,Sala - bheda,शाल भेद,śāla bheda
Desmodium gangeticum,Accepted source,Salaparni is correlated to this species,1077,Salaparni,शालपर्णी,śālaparṇī
Desmodium gangeticum DC.,,,1077,Salaparni,शालपर्णी,śālaparṇī
Desmodium gangeticum DC.,Accepted source,Identified with it,1077,Salaparni,शालपर्णी,śālaparṇī
Desmodium gangeticum DC.,Accepted source,Primitively 'Salaparni' and 'Vidarigandha' were considered as two different drugs; Presently Salaparni is considered to be Vidarigandha which is correlated to this species whose roots have the aroma of Vidarigandha tuber,1077,Salaparni,शालपर्णी,śālaparṇī
Desmodium polycarpum DC.,,,1078,Salaparni - prajati,शालपर्णी प्रजाति,śālaparṇī prajāti
Uraria hamosa Wall.,,,1078,Salaparni - prajati,शालपर्णी प्रजाति,śālaparṇī prajāti
Uraria lagopoides DC.,,,1078,Salaparni - prajati,शालपर्णी प्रजाति,śālaparṇī prajāti
Brassica rapa Linn.,,,1079,Salayam,सलयम,salayama
Alternanthera sessilis Br.,Accepted source,Cakrapani has mentioned 'Pattura' as Salinca; In Bengal 'Salinca' is known as 'Matsyaksi' which is correlated to this species,1081,Salinja,शालिञ्ज,śāliñja
